Country Name,Confirmed Cases,Reported Death,Recovered Cases,Active Cases,Date,Time
Malaysia,"1,030",3,87,940,21-03-2020,06:15
Portugal,"1,020",6,5,"1,009",21-03-2020,06:15
Japan,"1,007",35,215,757,21-03-2020,06:15
Brazil,970,11,2,957,21-03-2020,06:15
Australia,928,7,46,875,21-03-2020,06:15
Czechia,833,,4,829,21-03-2020,06:15
Diamond Princess,712,8,567,137,21-03-2020,06:15
Israel,705,1,15,689,21-03-2020,06:15
Ireland,683,3,5,675,21-03-2020,06:15
Turkey,670,9,,661,21-03-2020,06:15
Pakistan,501,3,13,485,21-03-2020,06:15
Greece,495,10,19,466,21-03-2020,06:15
Luxembourg,484,5,6,473,21-03-2020,06:15
Qatar,470,,10,460,21-03-2020,06:15
Finland,450,,10,440,21-03-2020,06:15
Chile,434,,6,428,21-03-2020,06:15
Ecuador,426,7,3,416,21-03-2020,06:15
Poland,425,5,13,407,21-03-2020,06:15
Iceland,409,,5,404,21-03-2020,06:15
Singapore,385,,131,254,21-03-2020,06:15
Indonesia,369,32,17,320,21-03-2020,06:15
Saudi Arabia,344,,8,336,21-03-2020,06:15
Slovenia,341,1,,340,21-03-2020,06:15
Thailand,322,1,42,279,21-03-2020,06:15
Romania,308,,31,277,21-03-2020,06:15
Bahrain,298,1,125,172,21-03-2020,06:15
Egypt,285,8,42,235,21-03-2020,06:15
Estonia,283,,1,282,21-03-2020,06:15
Peru,263,4,1,258,21-03-2020,06:15
Hong Kong,256,4,98,154,21-03-2020,06:15
Russia,253,1,12,240,21-03-2020,06:15
India,249,5,23,221,21-03-2020,06:15
Philippines,230,18,8,204,21-03-2020,06:15
Iraq,208,17,49,142,21-03-2020,06:15
South Africa,202,,,202,21-03-2020,06:15
Panama,200,1,1,198,21-03-2020,06:15
Lebanon,177,4,4,169,21-03-2020,06:15
Mexico,164,1,4,159,21-03-2020,06:15
Kuwait,159,,22,137,21-03-2020,06:15
Argentina,158,3,3,152,21-03-2020,06:15
San Marino,151,14,4,133,21-03-2020,06:15
Colombia,145,,1,144,21-03-2020,06:15
UAE,140,2,31,107,21-03-2020,06:15
Slovakia,137,,,137,21-03-2020,06:15
Armenia,136,,1,135,21-03-2020,06:15
Taiwan,135,2,28,105,21-03-2020,06:15
Serbia,135,1,2,132,21-03-2020,06:15
Croatia,130,1,5,124,21-03-2020,06:15
Bulgaria,127,3,1,123,21-03-2020,06:15
Costa Rica,113,2,2,109,21-03-2020,06:15
Latvia,111,,1,110,21-03-2020,06:15
Uruguay,110,,,110,21-03-2020,06:15
Algeria,94,11,32,51,21-03-2020,06:15
Vietnam,91,,17,74,21-03-2020,06:15
Bosnia and Herzegovina,89,,2,87,21-03-2020,06:15
Morocco,86,3,2,81,21-03-2020,06:15
Hungary,85,4,7,74,21-03-2020,06:15
Jordan,85,,1,84,21-03-2020,06:15
Faeroe Islands,80,,3,77,21-03-2020,06:15
Brunei,78,,1,77,21-03-2020,06:15
North Macedonia,76,,1,75,21-03-2020,06:15
Andorra,75,,1,74,21-03-2020,06:15
Cyprus,75,,,75,21-03-2020,06:15
Sri Lanka,73,,3,70,21-03-2020,06:15
Dominican Republic,72,2,,70,21-03-2020,06:15
Albania,70,2,2,66,21-03-2020,06:15
Belarus,69,,15,54,21-03-2020,06:15
Moldova,66,1,1,64,21-03-2020,06:15
Venezuela,65,,1,64,21-03-2020,06:15
Malta,64,,2,62,21-03-2020,06:15
Lithuania,63,,1,62,21-03-2020,06:15
Tunisia,54,1,1,52,21-03-2020,06:15
New Zealand,53,,,53,21-03-2020,06:15
Kazakhstan,52,,,52,21-03-2020,06:15
Guadeloupe,51,1,,50,21-03-2020,06:15
Cambodia,51,,1,50,21-03-2020,06:15
Oman,48,,13,35,21-03-2020,06:15
Palestine,48,,17,31,21-03-2020,06:15
Senegal,47,,5,42,21-03-2020,06:15
Azerbaijan,44,1,7,36,21-03-2020,06:15
Georgia,44,,1,43,21-03-2020,06:15
Ukraine,41,3,1,37,21-03-2020,06:15
Burkina Faso,40,1,4,35,21-03-2020,06:15
Réunion,38,,,38,21-03-2020,06:15
Uzbekistan,33,,,33,21-03-2020,06:15
Martinique,32,1,,31,21-03-2020,06:15
Liechtenstein,28,,,28,21-03-2020,06:15
Cameroon,27,,2,25,21-03-2020,06:15
Afghanistan,24,,1,23,21-03-2020,06:15
Honduras,24,,,24,21-03-2020,06:15
Cuba,21,1,,20,21-03-2020,06:15
Bangladesh,20,1,3,16,21-03-2020,06:15
Jamaica,19,1,2,16,21-03-2020,06:15
DRC,18,,,18,21-03-2020,06:15
Paraguay,18,,,18,21-03-2020,06:15
Macao,17,,10,7,21-03-2020,06:15
Rwanda,17,,,17,21-03-2020,06:15
Bolivia,16,,,16,21-03-2020,06:15
Ghana,16,,,16,21-03-2020,06:15
Guyana,15,1,,14,21-03-2020,06:15
French Guiana,15,,,15,21-03-2020,06:15
Guam,14,,,14,21-03-2020,06:15
Montenegro,14,,,14,21-03-2020,06:15
Puerto Rico,14,,,14,21-03-2020,06:15
Maldives,13,,2,11,21-03-2020,06:15
Guatemala,12,1,,11,21-03-2020,06:15
Nigeria,12,,1,11,21-03-2020,06:15
Channel Islands,12,,,12,21-03-2020,06:15
Mauritius,12,,,12,21-03-2020,06:15
Monaco,11,,,11,21-03-2020,06:15
French Polynesia,11,,,11,21-03-2020,06:15
Gibraltar,10,,2,8,21-03-2020,06:15
Ivory Coast,9,,1,8,21-03-2020,06:15
Ethiopia,9,,,9,21-03-2020,06:15
Togo,9,,,9,21-03-2020,06:15
Trinidad and Tobago,9,,,9,21-03-2020,06:15
Kenya,7,,,7,21-03-2020,06:15
Mayotte,7,,,7,21-03-2020,06:15
Seychelles,7,,,7,21-03-2020,06:15
Barbados,6,,,6,21-03-2020,06:15
Equatorial Guinea,6,,,6,21-03-2020,06:15
Kyrgyzstan,6,,,6,21-03-2020,06:15
Mongolia,6,,,6,21-03-2020,06:15
Tanzania,6,,,6,21-03-2020,06:15
Aruba,5,,1,4,21-03-2020,06:15
Gabon,4,1,,3,21-03-2020,06:15
Bahamas,4,,,4,21-03-2020,06:15
Saint Martin,4,,,4,21-03-2020,06:15
Suriname,4,,,4,21-03-2020,06:15
Cayman Islands,3,1,,2,21-03-2020,06:15
Curaçao,3,1,,2,21-03-2020,06:15
CAR,3,,,3,21-03-2020,06:15
Congo,3,,,3,21-03-2020,06:15
Madagascar,3,,,3,21-03-2020,06:15
Namibia,3,,,3,21-03-2020,06:15
St. Barth,3,,,3,21-03-2020,06:15
U.S. Virgin Islands,3,,,3,21-03-2020,06:15
Sudan,2,1,,1,21-03-2020,06:15
Benin,2,,,2,21-03-2020,06:15
Bermuda,2,,,2,21-03-2020,06:15
Bhutan,2,,,2,21-03-2020,06:15
Greenland,2,,,2,21-03-2020,06:15
Guinea,2,,,2,21-03-2020,06:15
Haiti,2,,,2,21-03-2020,06:15
Isle of Man,2,,,2,21-03-2020,06:15
Liberia,2,,,2,21-03-2020,06:15
Mauritania,2,,,2,21-03-2020,06:15
New Caledonia,2,,,2,21-03-2020,06:15
Nicaragua,2,,,2,21-03-2020,06:15
Saint Lucia,2,,,2,21-03-2020,06:15
Zambia,2,,,2,21-03-2020,06:15
Nepal,1,,1,0,21-03-2020,06:15
Angola,1,,,1,21-03-2020,06:15
Antigua and Barbuda,1,,,1,21-03-2020,06:15
Cabo Verde,1,,,1,21-03-2020,06:15
Chad,1,,,1,21-03-2020,06:15
Djibouti,1,,,1,21-03-2020,06:15
El Salvador,1,,,1,21-03-2020,06:15
Fiji,1,,,1,21-03-2020,06:15
Gambia,1,,,1,21-03-2020,06:15
Vatican City,1,,,1,21-03-2020,06:15
Montserrat,1,,,1,21-03-2020,06:15
Niger,1,,,1,21-03-2020,06:15
Papua New Guinea,1,,,1,21-03-2020,06:15
St. Vincent Grenadines,1,,,1,21-03-2020,06:15
Sint Maarten,1,,,1,21-03-2020,06:15
Somalia,1,,,1,21-03-2020,06:15
Eswatini,1,,,1,21-03-2020,06:15
Zimbabwe,1,,,1,21-03-2020,06:15
China,"81,008","3,255","71,740","6,013",21-03-2020,08:15
Italy,"47,021","4,032","5,129","37,860",21-03-2020,08:15
Spain,"21,571","1,093","1,588","18,890",21-03-2020,08:15
USA,"20,193",280,147,"19,766",21-03-2020,08:15
Germany,"19,848",68,180,"19,600",21-03-2020,08:15
Iran,"19,644","1,433","6,745","11,466",21-03-2020,08:15
France,"12,612",450,"1,587","10,575",21-03-2020,08:15
S. Korea,"8,799",102,"2,612","6,085",21-03-2020,08:15
Switzerland,"5,615",56,15,"5,544",21-03-2020,08:15
UK,"3,983",177,65,"3,741",21-03-2020,08:15
Netherlands,"2,994",106,2,"2,886",21-03-2020,08:15
Austria,"2,649",6,9,"2,634",21-03-2020,08:15
Belgium,"2,257",37,204,"2,016",21-03-2020,08:15
Norway,"1,959",7,1,"1,951",21-03-2020,08:15
Sweden,"1,639",16,16,"1,607",21-03-2020,08:15
Denmark,"1,255",9,1,"1,245",21-03-2020,08:15
Canada,"1,087",12,14,"1,061",21-03-2020,08:15
Malaysia,"1,030",3,87,940,21-03-2020,08:15
Australia,"1,023",7,46,970,21-03-2020,08:15
Portugal,"1,020",6,5,"1,009",21-03-2020,08:15
Japan,"1,007",35,215,757,21-03-2020,08:15
Brazil,970,11,2,957,21-03-2020,08:15
Czechia,833,,4,829,21-03-2020,08:15
Diamond Princess,712,8,567,137,21-03-2020,08:15
Israel,705,1,15,689,21-03-2020,08:15
Ireland,683,3,5,675,21-03-2020,08:15
Turkey,670,9,,661,21-03-2020,08:15
Pakistan,501,3,13,485,21-03-2020,08:15
Greece,495,10,19,466,21-03-2020,08:15
Luxembourg,484,5,6,473,21-03-2020,08:15
Qatar,470,,10,460,21-03-2020,08:15
Finland,450,,10,440,21-03-2020,08:15
Chile,434,,6,428,21-03-2020,08:15
Ecuador,426,7,3,416,21-03-2020,08:15
Poland,425,5,13,407,21-03-2020,08:15
Iceland,409,,5,404,21-03-2020,08:15
Singapore,385,2,131,252,21-03-2020,08:15
Indonesia,369,32,17,320,21-03-2020,08:15
Saudi Arabia,344,,8,336,21-03-2020,08:15
Slovenia,341,1,,340,21-03-2020,08:15
Thailand,322,1,42,279,21-03-2020,08:15
Romania,308,,31,277,21-03-2020,08:15
Bahrain,298,1,125,172,21-03-2020,08:15
Egypt,285,8,42,235,21-03-2020,08:15
Estonia,283,,1,282,21-03-2020,08:15
Peru,263,4,1,258,21-03-2020,08:15
India,258,5,23,230,21-03-2020,08:15
Hong Kong,256,4,98,154,21-03-2020,08:15
Russia,253,1,12,240,21-03-2020,08:15
Philippines,230,18,8,204,21-03-2020,08:15
Iraq,208,17,49,142,21-03-2020,08:15
Mexico,203,2,4,197,21-03-2020,08:15
South Africa,202,,,202,21-03-2020,08:15
Panama,200,1,1,198,21-03-2020,08:15
Lebanon,177,4,4,169,21-03-2020,08:15
Kuwait,159,,22,137,21-03-2020,08:15
Argentina,158,3,3,152,21-03-2020,08:15
Colombia,158,,1,157,21-03-2020,08:15
San Marino,151,14,4,133,21-03-2020,08:15
UAE,140,2,31,107,21-03-2020,08:15
Slovakia,137,,,137,21-03-2020,08:15
Armenia,136,,1,135,21-03-2020,08:15
Taiwan,135,2,28,105,21-03-2020,08:15
Serbia,135,1,2,132,21-03-2020,08:15
Croatia,130,1,5,124,21-03-2020,08:15
Bulgaria,127,3,1,123,21-03-2020,08:15
Costa Rica,113,2,2,109,21-03-2020,08:15
Latvia,111,,1,110,21-03-2020,08:15
Uruguay,110,,,110,21-03-2020,08:15
Algeria,94,11,32,51,21-03-2020,08:15
Vietnam,91,,17,74,21-03-2020,08:15
Bosnia and Herzegovina,89,,2,87,21-03-2020,08:15
Morocco,86,3,2,81,21-03-2020,08:15
Hungary,85,4,7,74,21-03-2020,08:15
Jordan,85,,1,84,21-03-2020,08:15
Faeroe Islands,80,,3,77,21-03-2020,08:15
Brunei,78,,1,77,21-03-2020,08:15
North Macedonia,76,,1,75,21-03-2020,08:15
Andorra,75,,1,74,21-03-2020,08:15
Cyprus,75,,,75,21-03-2020,08:15
Sri Lanka,73,,3,70,21-03-2020,08:15
Dominican Republic,72,2,,70,21-03-2020,08:15
Albania,70,2,2,66,21-03-2020,08:15
Lithuania,69,1,1,67,21-03-2020,08:15
Belarus,69,,15,54,21-03-2020,08:15
Moldova,66,1,1,64,21-03-2020,08:15
Venezuela,65,,1,64,21-03-2020,08:15
Malta,64,,2,62,21-03-2020,08:15
Tunisia,54,1,1,52,21-03-2020,08:15
Kazakhstan,52,,,52,21-03-2020,08:15
New Zealand,52,,,52,21-03-2020,08:15
Guadeloupe,51,1,,50,21-03-2020,08:15
Cambodia,51,,1,50,21-03-2020,08:15
Oman,48,,13,35,21-03-2020,08:15
Palestine,48,,17,31,21-03-2020,08:15
Senegal,47,,5,42,21-03-2020,08:15
Azerbaijan,44,1,7,36,21-03-2020,08:15
Georgia,44,,1,43,21-03-2020,08:15
Ukraine,41,3,1,37,21-03-2020,08:15
Burkina Faso,40,1,4,35,21-03-2020,08:15
Réunion,38,,,38,21-03-2020,08:15
Uzbekistan,33,,,33,21-03-2020,08:15
Martinique,32,1,,31,21-03-2020,08:15
Liechtenstein,28,,,28,21-03-2020,08:15
Cameroon,27,,2,25,21-03-2020,08:15
Afghanistan,24,,1,23,21-03-2020,08:15
Honduras,24,,,24,21-03-2020,08:15
Cuba,21,1,,20,21-03-2020,08:15
Bangladesh,20,1,3,16,21-03-2020,08:15
Jamaica,19,1,2,16,21-03-2020,08:15
DRC,18,,,18,21-03-2020,08:15
Paraguay,18,,,18,21-03-2020,08:15
Macao,17,,10,7,21-03-2020,08:15
Rwanda,17,,,17,21-03-2020,08:15
Bolivia,16,,,16,21-03-2020,08:15
Ghana,16,,,16,21-03-2020,08:15
Guyana,15,1,,14,21-03-2020,08:15
French Guiana,15,,,15,21-03-2020,08:15
Guam,14,,,14,21-03-2020,08:15
Montenegro,14,,,14,21-03-2020,08:15
Puerto Rico,14,,,14,21-03-2020,08:15
Maldives,13,,2,11,21-03-2020,08:15
Guatemala,12,1,,11,21-03-2020,08:15
Nigeria,12,,1,11,21-03-2020,08:15
Channel Islands,12,,,12,21-03-2020,08:15
Mauritius,12,,,12,21-03-2020,08:15
Monaco,11,,,11,21-03-2020,08:15
French Polynesia,11,,,11,21-03-2020,08:15
Gibraltar,10,,2,8,21-03-2020,08:15
Ivory Coast,9,,1,8,21-03-2020,08:15
Ethiopia,9,,,9,21-03-2020,08:15
Togo,9,,,9,21-03-2020,08:15
Trinidad and Tobago,9,,,9,21-03-2020,08:15
Kenya,7,,,7,21-03-2020,08:15
Mayotte,7,,,7,21-03-2020,08:15
Seychelles,7,,,7,21-03-2020,08:15
Barbados,6,,,6,21-03-2020,08:15
Equatorial Guinea,6,,,6,21-03-2020,08:15
Kyrgyzstan,6,,,6,21-03-2020,08:15
Mongolia,6,,,6,21-03-2020,08:15
Tanzania,6,,,6,21-03-2020,08:15
U.S. Virgin Islands,6,,,6,21-03-2020,08:15
Aruba,5,,1,4,21-03-2020,08:15
Gabon,4,1,,3,21-03-2020,08:15
Bahamas,4,,,4,21-03-2020,08:15
Saint Martin,4,,,4,21-03-2020,08:15
Suriname,4,,,4,21-03-2020,08:15
Cayman Islands,3,1,,2,21-03-2020,08:15
Curaçao,3,1,,2,21-03-2020,08:15
CAR,3,,,3,21-03-2020,08:15
Congo,3,,,3,21-03-2020,08:15
Madagascar,3,,,3,21-03-2020,08:15
Namibia,3,,,3,21-03-2020,08:15
St. Barth,3,,,3,21-03-2020,08:15
Sudan,2,1,,1,21-03-2020,08:15
Benin,2,,,2,21-03-2020,08:15
Bermuda,2,,,2,21-03-2020,08:15
Bhutan,2,,,2,21-03-2020,08:15
Greenland,2,,,2,21-03-2020,08:15
Guinea,2,,,2,21-03-2020,08:15
Haiti,2,,,2,21-03-2020,08:15
Isle of Man,2,,,2,21-03-2020,08:15
Liberia,2,,,2,21-03-2020,08:15
Mauritania,2,,,2,21-03-2020,08:15
New Caledonia,2,,,2,21-03-2020,08:15
Nicaragua,2,,,2,21-03-2020,08:15
Saint Lucia,2,,,2,21-03-2020,08:15
Zambia,2,,,2,21-03-2020,08:15
Nepal,1,,1,0,21-03-2020,08:15
Angola,1,,,1,21-03-2020,08:15
Antigua and Barbuda,1,,,1,21-03-2020,08:15
Cabo Verde,1,,,1,21-03-2020,08:15
Chad,1,,,1,21-03-2020,08:15
Djibouti,1,,,1,21-03-2020,08:15
El Salvador,1,,,1,21-03-2020,08:15
Fiji,1,,,1,21-03-2020,08:15
Gambia,1,,,1,21-03-2020,08:15
Vatican City,1,,,1,21-03-2020,08:15
Montserrat,1,,,1,21-03-2020,08:15
Niger,1,,,1,21-03-2020,08:15
Papua New Guinea,1,,,1,21-03-2020,08:15
St. Vincent Grenadines,1,,,1,21-03-2020,08:15
Sint Maarten,1,,,1,21-03-2020,08:15
Somalia,1,,,1,21-03-2020,08:15
Eswatini,1,,,1,21-03-2020,08:15
Zimbabwe,1,,,1,21-03-2020,08:15
China,"81,008","3,255","71,740","6,013",21-03-2020,10:20
Italy,"47,021","4,032","5,129","37,860",21-03-2020,10:20
Spain,"21,571","1,093","1,588","18,890",21-03-2020,10:20
Germany,"19,848",68,180,"19,600",21-03-2020,10:20
USA,"19,778",275,147,"19,356",21-03-2020,10:20
Iran,"19,644","1,433","6,745","11,466",21-03-2020,10:20
France,"12,612",450,"1,587","10,575",21-03-2020,10:20
S. Korea,"8,799",102,"2,612","6,085",21-03-2020,10:20
Switzerland,"5,615",56,15,"5,544",21-03-2020,10:20
UK,"3,983",177,65,"3,741",21-03-2020,10:20
Netherlands,"2,994",106,2,"2,886",21-03-2020,10:20
Austria,"2,649",6,9,"2,634",21-03-2020,10:20
Belgium,"2,257",37,204,"2,016",21-03-2020,10:20
Norway,"1,967",7,1,"1,959",21-03-2020,10:20
Sweden,"1,639",16,16,"1,607",21-03-2020,10:20
Denmark,"1,255",9,1,"1,245",21-03-2020,10:20
Canada,"1,087",12,14,"1,061",21-03-2020,10:20
Australia,"1,068",7,46,"1,015",21-03-2020,10:20
Malaysia,"1,030",3,87,940,21-03-2020,10:20
Portugal,"1,020",6,5,"1,009",21-03-2020,10:20
Japan,"1,007",35,215,757,21-03-2020,10:20
Brazil,970,11,2,957,21-03-2020,10:20
Czechia,833,,4,829,21-03-2020,10:20
Diamond Princess,712,8,567,137,21-03-2020,10:20
Israel,705,1,15,689,21-03-2020,10:20
Ireland,683,3,5,675,21-03-2020,10:20
Turkey,670,9,,661,21-03-2020,10:20
Pakistan,519,4,13,502,21-03-2020,10:20
Greece,495,10,19,466,21-03-2020,10:20
Luxembourg,484,5,6,473,21-03-2020,10:20
Qatar,470,,10,460,21-03-2020,10:20
Finland,450,,10,440,21-03-2020,10:20
Chile,434,,6,428,21-03-2020,10:20
Ecuador,426,7,3,416,21-03-2020,10:20
Poland,425,5,13,407,21-03-2020,10:20
Thailand,411,1,42,368,21-03-2020,10:20
Iceland,409,,5,404,21-03-2020,10:20
Singapore,385,2,131,252,21-03-2020,10:20
Indonesia,369,32,17,320,21-03-2020,10:20
Saudi Arabia,344,,8,336,21-03-2020,10:20
Slovenia,341,1,,340,21-03-2020,10:20
Romania,308,,31,277,21-03-2020,10:20
Bahrain,298,1,125,172,21-03-2020,10:20
Egypt,285,8,42,235,21-03-2020,10:20
Estonia,283,,1,282,21-03-2020,10:20
India,275,5,23,247,21-03-2020,10:20
Peru,263,4,1,258,21-03-2020,10:20
Philippines,262,18,8,236,21-03-2020,10:20
Hong Kong,256,4,98,154,21-03-2020,10:20
Russia,253,1,12,240,21-03-2020,10:20
Iraq,208,17,49,142,21-03-2020,10:20
Mexico,203,2,4,197,21-03-2020,10:20
South Africa,202,,,202,21-03-2020,10:20
Panama,200,1,1,198,21-03-2020,10:20
Lebanon,177,4,4,169,21-03-2020,10:20
Armenia,160,,1,159,21-03-2020,10:20
Kuwait,159,,22,137,21-03-2020,10:20
Argentina,158,3,3,152,21-03-2020,10:20
Colombia,158,,1,157,21-03-2020,10:20
San Marino,151,14,4,133,21-03-2020,10:20
Serbia,149,1,2,146,21-03-2020,10:20
Bulgaria,142,3,3,136,21-03-2020,10:20
UAE,140,2,31,107,21-03-2020,10:20
Slovakia,137,,,137,21-03-2020,10:20
Taiwan,135,2,28,105,21-03-2020,10:20
Croatia,130,1,5,124,21-03-2020,10:20
Costa Rica,113,2,2,109,21-03-2020,10:20
Latvia,111,,1,110,21-03-2020,10:20
Uruguay,110,,,110,21-03-2020,10:20
Hungary,103,4,7,92,21-03-2020,10:20
Algeria,94,11,32,51,21-03-2020,10:20
Vietnam,91,,17,74,21-03-2020,10:20
Bosnia and Herzegovina,90,,2,88,21-03-2020,10:20
Morocco,86,3,2,81,21-03-2020,10:20
Jordan,85,,1,84,21-03-2020,10:20
Faeroe Islands,80,,3,77,21-03-2020,10:20
Brunei,78,,1,77,21-03-2020,10:20
North Macedonia,76,,1,75,21-03-2020,10:20
Andorra,75,,1,74,21-03-2020,10:20
Cyprus,75,,,75,21-03-2020,10:20
Sri Lanka,73,,3,70,21-03-2020,10:20
Dominican Republic,72,2,,70,21-03-2020,10:20
Albania,70,2,2,66,21-03-2020,10:20
Lithuania,69,1,1,67,21-03-2020,10:20
Belarus,69,,15,54,21-03-2020,10:20
Moldova,66,1,1,64,21-03-2020,10:20
Venezuela,65,,1,64,21-03-2020,10:20
Malta,64,,2,62,21-03-2020,10:20
Tunisia,54,1,1,52,21-03-2020,10:20
Kazakhstan,53,,,53,21-03-2020,10:20
New Zealand,52,,,52,21-03-2020,10:20
Oman,52,,13,39,21-03-2020,10:20
Guadeloupe,51,1,,50,21-03-2020,10:20
Cambodia,51,,1,50,21-03-2020,10:20
Palestine,48,,17,31,21-03-2020,10:20
Georgia,47,,1,46,21-03-2020,10:20
Senegal,47,,5,42,21-03-2020,10:20
Azerbaijan,44,1,7,36,21-03-2020,10:20
Ukraine,41,3,1,37,21-03-2020,10:20
Burkina Faso,40,1,4,35,21-03-2020,10:20
Réunion,38,,,38,21-03-2020,10:20
Liechtenstein,37,,,37,21-03-2020,10:20
Uzbekistan,37,,,37,21-03-2020,10:20
Martinique,32,1,,31,21-03-2020,10:20
Cameroon,27,,2,25,21-03-2020,10:20
Afghanistan,24,,1,23,21-03-2020,10:20
Honduras,24,,,24,21-03-2020,10:20
Cuba,21,1,,20,21-03-2020,10:20
Bangladesh,20,1,3,16,21-03-2020,10:20
Jamaica,19,1,2,16,21-03-2020,10:20
Bolivia,19,,,19,21-03-2020,10:20
DRC,18,,,18,21-03-2020,10:20
Paraguay,18,,,18,21-03-2020,10:20
Macao,17,,10,7,21-03-2020,10:20
Rwanda,17,,,17,21-03-2020,10:20
Ghana,16,,,16,21-03-2020,10:20
Guyana,15,1,,14,21-03-2020,10:20
French Guiana,15,,,15,21-03-2020,10:20
Guam,14,,,14,21-03-2020,10:20
Montenegro,14,,,14,21-03-2020,10:20
Puerto Rico,14,,,14,21-03-2020,10:20
Maldives,13,,2,11,21-03-2020,10:20
Guatemala,12,1,,11,21-03-2020,10:20
Mauritius,12,1,,11,21-03-2020,10:20
Nigeria,12,,1,11,21-03-2020,10:20
Channel Islands,12,,,12,21-03-2020,10:20
Kyrgyzstan,12,,,12,21-03-2020,10:20
Monaco,11,,,11,21-03-2020,10:20
French Polynesia,11,,,11,21-03-2020,10:20
Gibraltar,10,,2,8,21-03-2020,10:20
Mongolia,10,,,10,21-03-2020,10:20
Ivory Coast,9,,1,8,21-03-2020,10:20
Ethiopia,9,,,9,21-03-2020,10:20
Togo,9,,,9,21-03-2020,10:20
Trinidad and Tobago,9,,,9,21-03-2020,10:20
Kenya,7,,,7,21-03-2020,10:20
Mayotte,7,,,7,21-03-2020,10:20
Seychelles,7,,,7,21-03-2020,10:20
Barbados,6,,,6,21-03-2020,10:20
Equatorial Guinea,6,,,6,21-03-2020,10:20
Tanzania,6,,,6,21-03-2020,10:20
U.S. Virgin Islands,6,,,6,21-03-2020,10:20
Aruba,5,,1,4,21-03-2020,10:20
Gabon,4,1,,3,21-03-2020,10:20
Bahamas,4,,,4,21-03-2020,10:20
Saint Martin,4,,,4,21-03-2020,10:20
Suriname,4,,,4,21-03-2020,10:20
Cayman Islands,3,1,,2,21-03-2020,10:20
Curaçao,3,1,,2,21-03-2020,10:20
CAR,3,,,3,21-03-2020,10:20
Congo,3,,,3,21-03-2020,10:20
El Salvador,3,,,3,21-03-2020,10:20
Madagascar,3,,,3,21-03-2020,10:20
Namibia,3,,,3,21-03-2020,10:20
St. Barth,3,,,3,21-03-2020,10:20
Sudan,2,1,,1,21-03-2020,10:20
Benin,2,,,2,21-03-2020,10:20
Bermuda,2,,,2,21-03-2020,10:20
Bhutan,2,,,2,21-03-2020,10:20
Fiji,2,,,2,21-03-2020,10:20
Greenland,2,,,2,21-03-2020,10:20
Guinea,2,,,2,21-03-2020,10:20
Haiti,2,,,2,21-03-2020,10:20
Isle of Man,2,,,2,21-03-2020,10:20
Liberia,2,,,2,21-03-2020,10:20
Mauritania,2,,,2,21-03-2020,10:20
New Caledonia,2,,,2,21-03-2020,10:20
Nicaragua,2,,,2,21-03-2020,10:20
Saint Lucia,2,,,2,21-03-2020,10:20
Zambia,2,,,2,21-03-2020,10:20
Nepal,1,,1,0,21-03-2020,10:20
Angola,1,,,1,21-03-2020,10:20
Antigua and Barbuda,1,,,1,21-03-2020,10:20
Cabo Verde,1,,,1,21-03-2020,10:20
Chad,1,,,1,21-03-2020,10:20
Djibouti,1,,,1,21-03-2020,10:20
Gambia,1,,,1,21-03-2020,10:20
Vatican City,1,,,1,21-03-2020,10:20
Montserrat,1,,,1,21-03-2020,10:20
Niger,1,,,1,21-03-2020,10:20
Papua New Guinea,1,,,1,21-03-2020,10:20
St. Vincent Grenadines,1,,,1,21-03-2020,10:20
Sint Maarten,1,,,1,21-03-2020,10:20
Somalia,1,,,1,21-03-2020,10:20
Eswatini,1,,,1,21-03-2020,10:20
Zimbabwe,1,,,1,21-03-2020,10:20
China,"81,008","3,255","71,740","6,013",21-03-2020,12:57
Italy,"47,021","4,032","5,129","37,860",21-03-2020,12:57
Spain,"21,571","1,093","1,588","18,890",21-03-2020,12:57
Iran,"20,610","1,556","7,635","11,419",21-03-2020,12:57
Germany,"19,910",68,180,"19,662",21-03-2020,12:57
USA,"19,774",275,147,"19,352",21-03-2020,12:57
France,"12,612",450,"1,587","10,575",21-03-2020,12:57
S. Korea,"8,799",102,"2,612","6,085",21-03-2020,12:57
Switzerland,"5,616",57,15,"5,544",21-03-2020,12:57
UK,"3,983",177,65,"3,741",21-03-2020,12:57
Netherlands,"2,994",106,2,"2,886",21-03-2020,12:57
Austria,"2,690",7,9,"2,674",21-03-2020,12:57
Belgium,"2,257",37,204,"2,016",21-03-2020,12:57
Norway,"1,994",7,1,"1,986",21-03-2020,12:57
Sweden,"1,639",16,16,"1,607",21-03-2020,12:57
Denmark,"1,255",9,1,"1,245",21-03-2020,12:57
Malaysia,"1,183",4,114,"1,065",21-03-2020,12:57
Canada,"1,087",12,14,"1,061",21-03-2020,12:57
Australia,"1,068",7,46,"1,015",21-03-2020,12:57
Portugal,"1,020",7,5,"1,008",21-03-2020,12:57
Japan,"1,007",35,215,757,21-03-2020,12:57
Brazil,977,11,2,964,21-03-2020,12:57
Czechia,904,,4,900,21-03-2020,12:57
Israel,883,1,36,846,21-03-2020,12:57
Diamond Princess,712,8,567,137,21-03-2020,12:57
Ireland,683,3,5,675,21-03-2020,12:57
Turkey,670,9,,661,21-03-2020,12:57
Pakistan,531,3,13,515,21-03-2020,12:57
Finland,503,,10,493,21-03-2020,12:57
Greece,495,10,19,466,21-03-2020,12:57
